127.0.0.1 - - [31/Jul/2015:00:39:33 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Voltage-Refrigerator HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:39:34 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Temperature-AC HTTP/1.1" 200 11
127.0.0.1 - - [31/Jul/2015:00:39:34 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Voltage-Thermostat HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:39:34 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Voltage-AC HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:39:34 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Temperature-Refrigerator HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:39:34 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Voltage-Refrigerator HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:39:34 -0700] "GET /com.assignment2.server/rest/jsonservices/read/Pressure-Refrigerator HTTP/1.1" 200 12
127.0.0.1 - - [31/Jul/2015:00:42:21 -0700] "GET /com.assignment2.server/Devices.html HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:42:21 -0700] "GET /com.assignment2.server/assets/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:42:21 -0700] "GET /com.assignment2.server/_js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:42:21 -0700] "GET /com.assignment2.server/_js/controllers/ProductController.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2015:00:42:21 -0700] "GET /com.assignment2.server/_js/controllers/RegisterController.js HTTP/1.1" 304 -
